C00177436|30004|384|1|384
C00384818|02895|250|1|250
C00177436|30750|230|1|230
C00177436|04105|384|1|384
C00384818|02895|292|2|583
C00177436|04105|384|2|1382
C00177436|30004|384|2|768
C00384818|02895|250|3|833
C00177436|30750|230|2|844
C00177436|04105|384|3|1502
C00384818|02895|292|4|1166
C00177436|04105|384|4|504
C00177436|30004|384|3|2150
C00384818|02895|250|5|1416
C00177436|30750|230|3|2226
C00177436|04105|384|5|888
C00384818|02895|292|6|1749
C00177436|04105|384|6|3378
C00177436|30004|384|4|2764
C00384818|02895|250|7|1999
C00177436|30750|230|4|2840
C00177436|04105|384|7|3762
C00384818|02895|292|8|2332
C00177436|04105|384|8|1272
C00177436|30004|384|5|4146
C00177436|30750|230|5|4222
C00177436|04105|384|9|4760
C00384818|02895|333|9|2665
C00177436|04105|384|10|708
C00177436|30004|384|6|5144
C00384818|02895|292|10|2915
C00177436|30750|230|6|5220
C00177436|04105|384|11|5698
C00384818|02895|333|11|3248
C00177436|04105|384|12|6696
C00177436|30004|384|7|6042
C00384818|02895|292|12|3498
C00177436|30750|230|7|6158
C00177436|04105|384|13|7280
C00384818|02895|333|13|3831
C00177436|04105|384|14|8238
C00177436|30004|384|8|7424
C00384818|02895|292|14|4081
C00177436|30750|230|8|7500
C00177436|04105|384|15|8622
C00384818|02895|333|15|4414
C00177436|04105|384|16|9620
C00177436|30004|384|9|9006
C00384818|02895|292|16|4664
C00177436|30750|230|9|9082
C00177436|04105|384|17|10004
C00384818|02895|333|17|4997
C00177436|04105|384|18|11002
C00177436|30004|384|10|10388
C00177436|30750|230|10|10464
C00177436|04105|384|19|11386
C00384818|02895|333|18|5330
C00177436|04105|384|20|1152
C00177436|30004|384|11|11770
C00384818|02895|333|19|5580
C00177436|30750|230|11|11846
C00177436|04105|384|21|1656
C00384818|02895|333|20|5913
C00177436|04105|384|22|12998
C00177436|30004|384|12|12384
C00384818|02895|333|21|6163
C00177436|30750|230|12|12460
C00177436|04105|384|23|13382
C00384818|02895|333|22|6496
C00177436|04105|384|24|14320
C00177436|30004|384|13|13766
C00384818|02895|333|23|6746
C00177436|30750|230|13|13842
C00177436|04105|384|25|14704
C00384818|02895|333|24|7079
C00177436|04105|384|26|1536
C00177436|30004|384|14|15088
C00384818|02895|333|25|7329
C00177436|30750|230|14|15169
C00177436|04105|384|27|15702
C00384818|02895|333|26|7662
C00177436|04105|384|28|16645
C00177436|30004|384|15|16086
